,names,scores,logfoldchanges,pvals,pvals_adj,archetype
65,Aplp2,7.19599,0.98293287,6.200918908258423e-13,1.5025096119880084e-10,Arc_5
66,Tardbp,7.1637053,1.9042516,7.852514981006408e-13,1.875517113820659e-10,Arc_5
67,Mbnl2,7.1204305,1.294581,1.0759068128803912e-12,2.533533240077079e-10,Arc_5
68,H2-K1,7.116398,0.8199388,1.1078436922385342e-12,2.572505373685563e-10,Arc_5
69,App,7.090011,1.0443119,1.3410101553636926e-12,3.071280655825421e-10,Arc_5
70,Kif5b,7.0865445,0.723027,1.3750199631889151e-12,3.106616049264253e-10,Arc_5
71,Ntn4,7.0009456,1.0790057,2.542408932986021e-12,5.667537993412438e-10,Arc_5
72,Ncam1,6.9691544,1.5926366,3.188518729537403e-12,7.01432166304419e-10,Arc_5
73,Nnat,6.9653144,1.548459,3.2767136380423394e-12,7.114724066809074e-10,Arc_5
74,Gnao1,6.9448867,1.5247568,3.78764513295882e-12,8.118671663838271e-10,Arc_5
75,Pura,6.8896103,1.1165164,5.594550088267822e-12,1.183990923110756e-09,Arc_5
76,Car8,6.8752856,1.3674926,6.18658586060984e-12,1.2929191125441988e-09,Arc_5
77,Kcnb2,6.870687,3.1429973,6.389340597557609e-12,1.3188072277847613e-09,Arc_5
78,St18,6.8608165,1.7408277,6.846816533549543e-12,1.3959990929806684e-09,Arc_5
79,Pafah1b1,6.8509216,1.0294962,7.337581307967116e-12,1.4780364082879786e-09,Arc_5
80,Kcnb1,6.805323,1.3682967,1.008226512540455e-11,2.006730840852841e-09,Arc_5
81,Serpine2,6.7931533,2.7035468,1.0970876661156956e-11,2.157906904680978e-09,Arc_5
82,Shank1,6.7464714,1.489078,1.5148373821572336e-11,2.94494955724265e-09,Arc_5
83,Ccdc88a,6.7425833,0.7641791,1.55594837118668e-11,2.9901035422839196e-09,Arc_5
84,Ddx17,6.733748,0.70412874,1.6534760272395747e-11,3.1414165567520965e-09,Arc_5
85,Six4,6.687223,1.3918091,2.2744559890894873e-11,4.27265502040305e-09,Arc_5
86,Map2,6.6752815,1.827561,2.4675811166756698e-11,4.583943187744503e-09,Arc_5
87,Slc38a1,6.6650615,1.1776386,2.6455440115214856e-11,4.860533003145903e-09,Arc_5
88,Atp8b1,6.638856,1.3398795,3.161274150302691e-11,5.744928534664205e-09,Arc_5
89,Cbx6,6.5992284,1.1728345,4.133037326334822e-11,7.4301345224722465e-09,Arc_5
90,Pcm1,6.498137,0.8717328,8.132083617864012e-11,1.4463862341177491e-08,Arc_5
91,Srsf1,6.460941,0.89871186,1.0405404501917222e-10,1.8262036343251787e-08,Arc_5
92,Tnrc6b,6.459773,0.9121983,1.0486006872134528e-10,1.8262036343251787e-08,Arc_5
93,Rab3c,6.425346,1.7699591,1.3157014745113963e-10,2.2677539126140244e-08,Arc_5
94,Ralgapa1,6.41072,0.9840338,1.4483389916511997e-10,2.470895877695552e-08,Arc_5
95,Ddx6,6.3707314,0.96897095,1.8812894530109858e-10,3.152743061731905e-08,Arc_5
96,Zbtb20,6.3703704,0.8404446,1.8857246616017134e-10,3.152743061731905e-08,Arc_5
97,Pcdh9,6.3624134,1.6963677,1.9860804226144953e-10,3.2554194691854656e-08,Arc_5
98,Nsd2,6.302093,1.0585136,2.9365249445990453e-10,4.7665786940535375e-08,Arc_5
99,BC005537,6.288226,0.88574976,3.2111434733145024e-10,5.162221897148574e-08,Arc_5
100,Marcks,6.167489,0.6428827,6.938282283937827e-10,1.104772776239586e-07,Arc_5
101,Ttc14,6.164492,0.6972028,7.070981152038277e-10,1.115280508310641e-07,Arc_5
102,Zfp618,6.1435466,1.4444815,8.069899964695254e-10,1.260940724390093e-07,Arc_5
103,Cd24a,6.0578995,1.2470642,1.3791062616354844e-09,2.1349331100262652e-07,Arc_5
104,D10Wsu102e,6.0403247,1.303478,1.538045591017794e-09,2.3591361684611465e-07,Arc_5
105,Snrnp70,6.032163,0.74617165,1.6177939787858486e-09,2.4588997755746e-07,Arc_5
106,Clca3a1,6.0301046,2.5027223,1.6385353951420892e-09,2.46798858300726e-07,Arc_5
107,Rgs17,6.02216,1.7308228,1.7210477661463952e-09,2.5691247859108556e-07,Arc_5
108,Cdh1,6.0168633,0.7697902,1.7782908290205098e-09,2.63108357260123e-07,Arc_5
109,Tmpo,6.013505,1.3439398,1.815544815021348e-09,2.6626398037142034e-07,Arc_5
0,Meis2,20.555588,1.6398087,6.859498499396806e-94,1.1468395541141519e-89,Arc_6
1,Piezo2,18.113586,1.5264525,2.489895737936922e-73,2.0814283421283698e-69,Arc_6
2,Nrxn1,15.474938,1.5550789,5.122231748463273e-54,2.854619753418582e-50,Arc_6
3,Egr1,14.437746,1.2987659,2.9947569641127563e-47,1.2517335420750292e-43,Arc_6
4,Col8a1,13.662566,1.4661428,1.6988932789589233e-42,5.6807593461828475e-39,Arc_6
5,Ccn3,13.435734,1.2982796,3.733507110827449e-41,1.0403417564320684e-37,Arc_6
6,Ascl1,13.052561,1.1006896,6.144669013763331e-39,1.284159015513864e-35,Arc_6
7,Cacna1a,13.023279,1.5399028,9.021142677470128e-39,1.675827604718034e-35,Arc_6
8,Cplx2,12.687318,0.9179493,6.952630650901401e-37,1.1624103185242052e-33,Arc_6
9,Zbtb20,12.586117,1.4886925,2.517556210734347e-36,3.8264565715697774e-33,Arc_6
10,Ier2,12.315505,1.3579904,7.474564742244863e-35,1.0413937327132655e-31,Arc_6
11,Ddx5,12.110596,1.0508957,9.281781317037097e-34,1.193708475688794e-30,Arc_6
12,Scn3a,11.613478,1.4141424,3.5200098757199505e-31,3.9234030074774567e-28,Arc_6
13,Btg2,11.488441,1.4870346,1.5080837415619321e-30,1.5758532546983713e-27,Arc_6
14,Rnf152,11.025211,1.9695431,2.888401885850516e-28,2.84065830173734e-25,Arc_6
15,Id4,10.69831,1.1873707,1.036509675200869e-26,9.627447366490738e-24,Arc_6
16,Hspa4l,10.382275,1.3133792,2.9857479094427436e-25,2.6273010156828017e-22,Arc_6
17,Robo1,10.336792,1.6702704,4.803468728547705e-25,4.0154596836294543e-22,Arc_6
18,Pcsk1,9.9962,1.1857287,1.5835878268517072e-23,1.2607621370063663e-20,Arc_6
19,Fos,9.684593,1.0500419,3.5060041624630396e-22,2.6644037996463435e-19,Arc_6
20,Gnao1,9.205582,1.8016655,3.3982590901985447e-20,2.4702388577838898e-17,Arc_6
21,Xist,9.034005,0.9655476,1.6550039291080713e-19,1.15291711211491e-16,Arc_6
22,Dnm3,9.002199,1.9920568,2.2124127963911343e-19,1.479573181714535e-16,Arc_6
23,Msi2,8.894706,1.2822903,5.857423724197693e-19,3.7665487401869705e-16,Arc_6
24,Adgrg6,8.576833,1.9366249,9.752119346229738e-18,5.823060119629106e-15,Arc_6
25,Pclo,8.424562,0.7736388,3.621016128414432e-17,2.0875782293434788e-14,Arc_6
26,Txnip,8.3254595,1.2698859,8.400248101975337e-17,4.5326903178936956e-14,Arc_6
27,Syt7,8.3254,1.0591068,8.404414130911213e-17,4.5326903178936956e-14,Arc_6
28,Junb,8.26188,0.9285173,1.4339637933210658e-16,7.492012706417156e-14,Arc_6
29,Cbfa2t3,8.178667,1.2987134,2.8700048217025643e-16,1.4494106246649014e-13,Arc_6
30,Pex5l,8.175454,1.4027678,2.9475423912080055e-16,1.4494106246649014e-13,Arc_6
31,Ntn4,8.092795,1.0800489,5.831082020880767e-16,2.7854245802030156e-13,Arc_6
32,Limch1,7.93565,0.96646595,2.0939566660486293e-15,9.72468374990751e-13,Arc_6
33,Peg3,7.8829355,0.6667985,3.1977816653833373e-15,1.444965180095784e-12,Arc_6
34,Atp2a3,7.6452293,0.96412927,2.085734695934949e-14,9.176683784562213e-12,Arc_6
35,Neat1,7.630186,0.60088134,2.3441547659339816e-14,1.00492111619616e-11,Arc_6
36,Rorb,7.617609,1.9419769,2.5841722182079175e-14,1.0801193829054543e-11,Arc_6
37,Igfbp5,7.5610857,0.7609341,3.997190719366546e-14,1.5914753952998374e-11,Arc_6
38,Jun,7.5610604,0.5552988,3.997964387977341e-14,1.5914753952998374e-11,Arc_6
39,Vwf,7.4202423,0.9655849,1.1690636413299824e-13,4.545482562650227e-11,Arc_6
40,Ttc6,7.4094443,0.984425,1.268298079737478e-13,4.8192444534388395e-11,Arc_6
41,Ryr2,7.132162,1.3523593,9.880437256298195e-13,3.670911788623323e-10,Arc_6
42,Smpd3,7.046156,0.7762154,1.8392808396728434e-12,6.684986164889188e-10,Arc_6
43,Tnrc6c,7.0398803,0.8791649,1.924051475615796e-12,6.844301408685212e-10,Arc_6
44,Insrr,6.951206,1.5905099,3.6217651113515448e-12,1.2357610387078872e-09,Arc_6
45,Ints6l,6.9482527,1.3964504,3.698380477583802e-12,1.2366644640944716e-09,Arc_6
46,Unc80,6.838419,1.4144473,8.007199659400902e-12,2.5744686751062246e-09,Arc_6
47,Actn1,6.775066,0.949559,1.243496970425443e-11,3.922646386517544e-09,Arc_6
48,Celf4,6.724927,0.8415515,1.756805742710804e-11,5.343140152400298e-09,Arc_6
49,Sema3e,6.7248516,1.243612,1.7577170188529002e-11,5.343140152400298e-09,Arc_6
50,Gria2,6.689873,1.9437501,2.2336375418239018e-11,6.6686046538846095e-09,Arc_6
51,Ddc,6.550045,0.8416011,5.751968105791847e-11,1.6580543924264463e-08,Arc_6
52,Ubc,6.5150924,0.94622993,7.26449678011529e-11,2.0585613841821616e-08,Arc_6
53,Kcnk3,6.4039664,1.3855997,1.5139145973886138e-10,4.2185230256233724e-08,Arc_6
54,Six4,6.3887973,1.1057703,1.6719560568420835e-10,4.52422658687991e-08,Arc_6
55,Syne1,6.3882685,1.0202216,1.677744173614178e-10,4.52422658687991e-08,Arc_6
56,H3f3b,6.3345475,0.98442924,2.380391639877991e-10,6.317106004304783e-08,Arc_6
57,Ahi1,6.306122,0.6731211,2.86113787612737e-10,7.474275648589608e-08,Arc_6
58,Snap25,6.234966,1.224818,4.518761345406605e-10,1.1622949374438927e-07,Arc_6
59,Zbtb44,6.174776,0.9557913,6.625735591171441e-10,1.6784192931635654e-07,Arc_6
60,Runx1t1,6.164431,0.8958351,7.073700668336949e-10,1.7651522608048572e-07,Arc_6
61,E330009J07Rik,6.0639186,1.1763157,1.3284447893914631e-09,3.2662159461523344e-07,Arc_6
62,Calca,6.055847,0.7850551,1.3968045348533274e-09,3.3845181185815626e-07,Arc_6
63,Slc4a3,6.0044665,1.277648,1.919617237142681e-09,4.5202930405335897e-07,Arc_6
