gene,sample,n_regulators,n_well_populated_leaves,transferability,mean_abs_residual,sample_mean_r2
TEAD1,allograft_mt6,6,39,0.4233015677835844,0.23792993680258837,0.25390221401441204
TFDP1,allograft_mt6,1,2,1.0,0.020480809132700097,0.25390221401441204
THRB,allograft_mt6,1,2,1.0,0.05091892584305309,0.25390221401441204
ZBTB20,allograft_mt6,7,56,0.3491963441537977,0.2651488505545614,0.25390221401441204
ZEB1,allograft_mt6,1,2,1.0,0.026922180154456906,0.25390221401441204
ASCL1,allograft_3L,6,26,0.07287933094384708,0.5355450158549911,0.18335222526612685
BACH1,allograft_3L,5,20,0.037564029595902104,0.3469014506692366,0.18335222526612685
BACH2,allograft_3L,3,8,0.21876735147140478,0.24339852532270592,0.18335222526612685
CREB1,allograft_3L,1,2,1.0,0.024324173963545623,0.18335222526612685
CUX2,allograft_3L,7,37,0.5691937424789411,0.2271681199512632,0.18335222526612685
EGR1,allograft_3L,7,37,0.5932611311672683,0.18640323610870466,0.18335222526612685
EHF,allograft_3L,2,4,0.24430871737923376,0.19733875118199654,0.18335222526612685
EPCAM,allograft_3L,6,30,0.5151162790697674,0.17071097916327801,0.18335222526612685
ESR1,allograft_3L,1,2,1.0,0.039430197986537366,0.18335222526612685
ETS1,allograft_3L,4,16,0.441976679622432,0.2367028990295991,0.18335222526612685
FOS,allograft_3L,8,35,0.18386876281613124,0.26935119227864845,0.18335222526612685
FOXO3,allograft_3L,4,16,0.43808995002776235,0.24745392422270562,0.18335222526612685
GRHL2,allograft_3L,4,16,0.359800111049417,0.23262589769607123,0.18335222526612685
HES1,allograft_3L,5,22,0.22874720357941836,0.2672804612790624,0.18335222526612685
HSF2,allograft_3L,6,25,0.3888559573206876,0.23472213198786707,0.18335222526612685
ICAM1,allograft_3L,6,31,0.4395539906103286,0.26534519377965815,0.18335222526612685
JUN,allograft_3L,6,24,0.234375,0.29569057408136207,0.18335222526612685
JUNB,allograft_3L,3,8,0.24375347029428096,0.31039470634242894,0.18335222526612685
JUND,allograft_3L,1,2,1.0,0.03678230423388451,0.18335222526612685
KMT2A,allograft_3L,7,36,0.2515262515262515,0.4467648876673657,0.18335222526612685
LMX1B,allograft_3L,4,16,0.15824541921154914,0.3268675782468645,0.18335222526612685
MEIS2,allograft_3L,4,16,0.1532481954469739,0.4410382581956648,0.18335222526612685
NCAM1,allograft_3L,7,35,0.3192771084337349,0.27502519327990227,0.18335222526612685
NFATC2,allograft_3L,3,8,0.27040533037201553,0.2877530404556995,0.18335222526612685
NFIA,allograft_3L,7,35,0.31123388581952116,0.23943113324923632,0.18335222526612685
NFIB,allograft_3L,8,50,0.4191461836998706,0.23664445212991242,0.18335222526612685
NFIX,allograft_3L,5,23,0.04018109790605546,0.45018556732743276,0.18335222526612685
NFKB1,allograft_3L,4,13,0.188268156424581,0.4001216616658895,0.18335222526612685
NFYC,allograft_3L,1,2,1.0,0.014344553067960519,0.18335222526612685
NR6A1,allograft_3L,1,2,1.0,0.0027522708726281497,0.18335222526612685
PBX1,allograft_3L,4,13,0.43966480446927375,0.2035360841357343,0.18335222526612685
PKNOX2,allograft_3L,5,28,0.5019673974142776,0.22984581319919392,0.18335222526612685
PROX1,allograft_3L,2,4,0.8200999444752916,0.18257579545271152,0.18335222526612685
RBPJ,allograft_3L,1,2,1.0,0.005825864112857008,0.18335222526612685
REST,allograft_3L,3,8,0.21932259855635758,0.21742782279565787,0.18335222526612685
RORA_RORB,allograft_3L,5,20,0.2931726907630522,0.3834066895163683,0.18335222526612685
RUNX1,allograft_3L,7,33,0.44408322496749025,0.2509363486149574,0.18335222526612685
SIX1,allograft_3L,5,24,0.48867497168742924,0.272649877350619,0.18335222526612685
SIX4,allograft_3L,8,49,0.2793548387096774,0.24594620663504416,0.18335222526612685
SMAD3,allograft_3L,5,19,0.12372304199772985,0.5322172513559918,0.18335222526612685
SOX11,allograft_3L,4,15,0.20947075208913649,0.453806897469799,0.18335222526612685
SOX9,allograft_3L,1,2,1.0,0.028632141492144405,0.18335222526612685
STAT1,allograft_3L,1,2,1.0,0.037043823120778835,0.18335222526612685
STAT2,allograft_3L,5,22,0.4546998867497169,0.21273824318866538,0.18335222526612685
TBX15,allograft_3L,6,26,0.40174927113702624,0.17929181510637088,0.18335222526612685
TCF4,allograft_3L,1,2,1.0,0.01565592804463675,0.18335222526612685
TCF7L1,allograft_3L,6,34,0.42650462962962965,0.1944981080521212,0.18335222526612685
TCF7L2,allograft_3L,5,24,0.2261904761904762,0.35277404874657703,0.18335222526612685
TEAD1,allograft_3L,6,33,0.42780748663101603,0.21786331674583453,0.18335222526612685
TFDP1,allograft_3L,1,2,1.0,0.023207623620642357,0.18335222526612685
THRB,allograft_3L,1,2,0.5119378123264853,0.24121398597046373,0.18335222526612685
ZBTB20,allograft_3L,7,36,0.44582814445828145,0.20787696957084723,0.18335222526612685
ZEB1,allograft_3L,1,2,1.0,0.03381265662599657,0.18335222526612685
ASCL1,allograft_2LR,6,38,0.2135523613963039,0.2921728657463757,0.2925788503235253
BACH1,allograft_2LR,5,25,0.8600337268128162,0.09958412348127367,0.2925788503235253
BACH2,allograft_2LR,3,8,0.4161096256684492,0.2557933963806694,0.2925788503235253
CREB1,allograft_2LR,1,2,1.0,0.016637191277902877,0.2925788503235253
CUX2,allograft_2LR,7,47,0.5615164520743919,0.20834597620575462,0.2925788503235253
EGR1,allograft_2LR,7,47,0.45243204577968527,0.1880983941339219,0.2925788503235253
EHF,allograft_2LR,2,4,0.0,0.3689465031629195,0.2925788503235253
EPCAM,allograft_2LR,6,39,0.36,0.24153893569576126,0.2925788503235253
ESR1,allograft_2LR,1,2,1.0,0.04377034958886491,0.2925788503235253
ETS1,allograft_2LR,4,13,0.5134408602150538,0.23339429450921373,0.2925788503235253
FOS,allograft_2LR,8,68,0.2364620938628159,0.2998573690882452,0.2925788503235253
FOXO3,allograft_2LR,4,16,0.4090909090909091,0.21596756807765347,0.2925788503235253
GRHL2,allograft_2LR,4,14,0.789261744966443,0.1030171859630187,0.2925788503235253
HES1,allograft_2LR,5,26,0.43457786747393207,0.20097006752509913,0.2925788503235253
HSF2,allograft_2LR,6,27,0.09833795013850416,0.2807625249606348,0.2925788503235253
ICAM1,allograft_2LR,6,41,0.5410176531671859,0.19562201622000336,0.2925788503235253
JUN,allograft_2LR,6,37,0.42667574004763525,0.24180921248065854,0.2925788503235253
JUNB,allograft_2LR,3,8,0.21156417112299467,0.3042081241278558,0.2925788503235253
JUND,allograft_2LR,1,2,1.0,0.034096478396985416,0.2925788503235253
KMT2A,allograft_2LR,7,51,0.17155835080363382,0.3910521502723675,0.2925788503235253
LMX1B,allograft_2LR,4,16,0.2302807486631016,0.27088305168795956,0.2925788503235253
MEIS2,allograft_2LR,4,16,0.18148395721925134,0.2743544786515998,0.2925788503235253
