,orig.ident,nCount_RNA,nFeature_RNA,sample,species,gene_count,tscp_count,mread_count,bc1_wind,bc2_wind,bc3_wind,bc1_well,bc2_well,bc3_well,percent.mt,condition,nCount_SCT,nFeature_SCT,SCT_snn_res.0.8,seurat_clusters,tree.ident,SCT_snn_res.0.5,rcpa_clusters,predicted.id,prediction.score.Generalist.NE,prediction.score.Neuroendocrine2,prediction.score.Stress,prediction.score.Generalist.nonNE,prediction.score.nonNE1,prediction.score.Neuroendocrine1,prediction.score.Intermediate,prediction.score.nonNE2,prediction.score.max,Ascl1_targets_score1,Rest_targets_score1,HES1_high_score1,Liu_sclcI_score1,Intermediate_score1,NE1_score1,NE2_score1,nonNE1_score1,nonNE2_score1,stress_score1,ident
04_25_85__s1,organoid,3452.0,1673.0,D_Sample2,GRCm39,1674,3453,5417,4,25,85,A4,C1,H1,4.866743916570105,shRORB1,7567.0,1819,14,1,10,0,1,Generalist NE,0.9833989005342316,0.0,0.0,0.0,0.0,0.016601099465768588,0.0,0.0,0.9833989005342316,0.18914932905277998,0.11866482138605494,-0.03775211633545444,-0.02455732879353916,0.32746477056867485,0.024010895515681085,0.1868027804527141,0.08151658371706139,-0.0667710792335643,0.01317491237165308,D_Sample2
04_25_95__s1,organoid,8679.0,3614.0,D_Sample2,GRCm39,3614,8679,13491,4,25,95,A4,C1,H11,1.8780965549026387,shRORB1,8598.0,3584,0,3,6,1,3,Generalist NE,0.9883414423891898,0.0,0.0,0.0,0.0,0.01165855761081029,0.0,0.0,0.9883414423891898,0.3292600656223669,0.20526526135984619,-0.09553953527062777,-0.059565616029451283,0.444275576088508,0.20272442238913302,0.1870904549495987,0.08443435319451328,0.01892106980432781,0.1759333137618913,D_Sample2
04_26_05__s1,organoid,7823.0,3407.0,D_Sample2,GRCm39,3407,7823,12300,4,26,5,A4,C2,A5,1.4700242873577911,shRORB1,7961.0,3393,1,2,2,2,2,Generalist NE,0.8348000530164928,0.0,0.0,0.0,0.0,0.16519994698350707,0.0,0.0,0.8348000530164928,0.3197100419529173,0.22766983051940237,-0.08348552686952607,-0.040440242978657406,0.3380611183457805,0.3844844347759409,0.01072052426379605,-0.028712344825481906,0.029189206585079744,0.1896297945405374,D_Sample2
04_26_64__s1,organoid,5752.0,2728.0,D_Sample2,GRCm39,2728,5752,9032,4,26,64,A4,C2,F4,4.015994436717663,shRORB1,7530.0,2717,10,1,3,9,1,Intermediate,0.022804754599652827,0.0,0.0,0.11433929440542938,0.0,0.0,0.8628559509949174,0.0,0.8628559509949174,-0.04662828803447722,-0.22448317037222512,0.07127837139436617,0.0038685844422760157,0.7661190010836275,-0.21182756195677283,-0.1672689143798321,0.16428576371415254,0.10312591446649845,-0.06378061402758223,D_Sample2
04_26_96__s1,organoid,15230.0,5014.0,D_Sample2,GRCm39,5014,15230,23800,4,26,96,A4,C2,H12,1.562705187130663,shRORB1,9457.0,4609,2,4,12,0,4,Neuroendocrine1,0.45632048915472273,0.0,0.0,0.0,0.0,0.5436795108452772,0.0,0.0,0.5436795108452772,0.31404427610261887,0.2907677139884684,-0.09745736919634099,-0.048653668357457755,0.31175222166571537,0.5174766932230881,0.5297072560312823,-0.031685834596107576,-0.034751663600461474,0.10443858985220719,D_Sample2
04_28_44__s1,organoid,9700.0,3788.0,D_Sample2,GRCm39,3788,9700,15476,4,28,44,A4,C4,D8,1.5154639175257731,shRORB1,9077.0,3767,14,1,10,0,1,Neuroendocrine1,0.28693439499078066,0.0,0.0,0.0,0.0,0.7130656050092191,0.0,0.0,0.7130656050092191,0.3171898011861123,0.19821991517383275,-0.0860090999796862,-0.04939239018031739,0.36122734006374213,0.40728339352295995,0.45126269583868545,8.600374384187814e-05,0.008523139984160724,0.12537638490404623,D_Sample2
04_29_60__s1,organoid,8977.0,3762.0,D_Sample2,GRCm39,3762,8977,14136,4,29,60,A4,C5,E12,1.7600534699788346,shRORB1,8805.0,3744,19,4,14,15,4,Neuroendocrine1,0.26378770131811075,0.0,0.0,0.0,0.0,0.7362122986818893,0.0,0.0,0.7362122986818893,0.38424551999163137,0.24984564330312287,-0.08448156512458091,-0.0368668604939493,0.27450775368733527,0.5651506069095433,0.26148141895982163,4.557290826093241e-05,0.019849060136539837,0.2501759013405227,D_Sample2
04_30_84__s1,organoid,7484.0,2917.0,D_Sample2,GRCm39,2917,7484,11522,4,30,84,A4,C6,G12,4.623196151790487,shRORB1,7877.0,2901,10,1,11,9,1,Intermediate,0.0,0.0,0.0,0.0056326908153929555,0.0,0.0,0.9943673091846073,0.0,0.9943673091846073,-0.04453753507188031,-0.20011236733922336,0.08307999083095478,0.029090100658623552,0.7055366809158778,-0.1660817031132274,-0.11013207903583289,0.22183028176065656,0.2106331910602779,-0.01979299284145984,D_Sample2
04_30_89__s1,organoid,16668.0,5460.0,D_Sample2,GRCm39,5460,16668,25905,4,30,89,A4,C6,H5,3.4617230621550275,shRORB1,9495.0,4741,13,4,12,3,4,Neuroendocrine1,0.38929196222774387,0.0,0.0,0.0,0.0,0.610708037772256,0.0,0.0,0.610708037772256,0.39859361026209483,0.3582665708003653,-0.10432282131719853,-0.02916734565128598,0.07530905570032354,0.6333110505637292,0.6524620817092455,0.003412065507624823,-0.0022181304907071264,0.168326951821116,D_Sample2
04_31_24__s1,organoid,12174.0,4326.0,D_Sample2,GRCm39,4326,12174,18867,4,31,24,A4,C7,B12,1.429275505174963,shRORB1,9272.0,4305,3,3,10,4,3,Generalist NE,0.9437569141993342,0.0,0.0,0.0,0.0,0.0562430858006659,0.0,0.0,0.9437569141993342,0.30493355285141965,0.22782681553081452,-0.10197067112562516,-0.07043394797691471,0.5577059151570478,0.6856134026874017,0.4153097694778108,0.0010639453949280453,0.01087996375561448,0.11490533185702886,D_Sample2
04_32_20__s1,organoid,3202.0,1844.0,D_Sample2,GRCm39,1844,3202,4835,4,32,20,A4,C8,B8,0.3123048094940662,shRORB1,7064.0,2088,10,1,3,9,1,Intermediate,0.24089860718513473,0.0,0.0,0.0,0.0,0.0,0.7591013928148657,0.0,0.7591013928148657,0.1136695808821556,0.07732586811181216,-0.07940610058664314,-0.05055077119981232,0.785707678289427,-0.24911230766583295,-0.24099832314286493,-0.17115875644432715,0.012723646039716735,-0.1731525737355082,D_Sample2
04_32_56__s1,organoid,12082.0,3779.0,D_Sample2,GRCm39,3779,12082,19263,4,32,56,A4,C8,E8,5.5619930475086905,shRORB1,9172.0,3758,11,8,1,11,8,Intermediate,0.004919124504483303,0.0,0.0,0.2528592838145827,0.0,0.0,0.7422215916809337,0.0,0.7422215916809337,-0.06572353440363668,-0.22885388277198673,0.15908548857473181,0.046692775385969734,0.4721070934592032,-0.12920404779555517,-0.08340651505371417,0.3815624135270631,0.14798729692075632,0.008292724099141002,D_Sample2
04_33_04__s1,organoid,5890.0,2765.0,D_Sample2,GRCm39,2765,5890,9218,4,33,4,A4,C9,A4,1.3582342954159592,shRORB1,7519.0,2747,1,2,2,2,2,Generalist NE,0.8681883901823704,0.0,0.0,0.0,0.0,0.13181160981762974,0.0,0.0,0.8681883901823704,0.33680446625650556,0.12663292983550778,-0.07511090758111555,-0.025843414337077687,0.38818480998861865,0.47217791968582745,0.1524192676921317,0.013757901005535117,0.030630390301483776,0.12323934146551652,D_Sample2
04_33_46__s1,organoid,7106.0,2844.0,D_Sample2,GRCm39,2844,7106,11406,4,33,46,A4,C9,D10,3.377427526034337,shRORB1,7717.0,2834,11,8,1,11,8,Intermediate,0.004671296005981945,0.0,0.0,0.3073652844646568,0.0,0.0,0.6879634195293614,0.0,0.6879634195293614,-0.02627065982420214,-0.20536660815894447,0.1602182384929689,0.04008634857856337,0.4291537044187556,-0.16178470373146198,-0.12064743510800413,0.2859075522014331,0.1324903151716016,0.02749488015930812,D_Sample2
04_34_95__s1,organoid,5113.0,2316.0,D_Sample2,GRCm39,2316,5113,7944,4,34,95,A4,C10,H11,2.64032857422257,shRORB1,7390.0,2302,0,2,2,1,2,Generalist NE,0.6029198013659205,0.0,0.0,0.0,0.0,0.39708019863407956,0.0,0.0,0.6029198013659205,0.31699968892549923,0.2920252823817845,-0.06345561068238764,-0.024314440845790236,-0.030805978363579734,0.544447222184823,0.11013316194097261,0.18644112856476475,-0.07354034252123559,0.38699518984068915,D_Sample2
04_35_10__s1,organoid,7651.0,3313.0,D_Sample2,GRCm39,3313,7651,11905,4,35,10,A4,C11,A10,1.084825513004836,shRORB1,7855.0,3301,0,3,6,1,3,Generalist NE,1.0000000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0000000000000002,0.38558339850217904,0.19595736525783342,-0.0853973982287769,-0.023294314150353712,0.346619967598486,0.2822883915161286,0.35123611575915265,-0.014045405423532192,0.025697800741392024,0.12289027648331591,D_Sample2
04_35_20__s1,organoid,6104.0,2659.0,D_Sample2,GRCm39,2659,6104,9347,4,35,20,A4,C11,B8,5.963302752293578,shRORB1,7570.0,2645,11,8,1,11,8,Intermediate,0.0,0.0,0.0,0.24858928774684996,0.0,0.0,0.75141071225315,0.0,0.75141071225315,-0.027108098590249236,-0.20341349688211485,0.11901334244792841,0.017955912326541548,0.40272578033967976,-0.20301916727724814,-0.11422712582163558,0.3783056309362527,0.1755829480524303,0.020461114470918584,D_Sample2
04_37_40__s1,organoid,14372.0,4859.0,D_Sample2,GRCm39,4859,14372,22614,4,37,40,A4,D1,D4,1.4263846367937656,shRORB1,9478.0,4670,2,1,4,0,1,Generalist NE,0.6183174294002971,0.0,0.0,0.0,0.0,0.3816825705997029,0.0,0.0,0.6183174294002971,0.34551936809032086,0.18342365066987887,-0.10475865485729588,-0.05663164322152027,0.2984034963649932,0.39287599448646204,0.3486491760864015,-0.007909500306951117,0.0158393706039561,0.08403221503079761,D_Sample2
04_37_85__s1,organoid,17055.0,5315.0,D_Sample2,GRCm39,5315,17055,26686,4,37,85,A4,D1,H1,1.3427147464086777,shRORB1,9438.0,4497,2,4,12,0,4,Neuroendocrine1,0.29830063399637685,0.0,0.0,0.0,0.0,0.701699366003623,0.0,0.0,0.701699366003623,0.39191131099598053,0.2869110874701708,-0.11654195558124564,-0.048559671015314484,0.03680459919071288,0.5456215383537607,0.5617954830580865,-0.02542304896007605,-0.03172215268578267,0.1948536132699909,D_Sample2
04_39_71__s1,organoid,5458.0,2585.0,D_Sample2,GRCm39,2585,5458,8333,4,39,71,A4,D3,F11,2.7482594356907293,shRORB1,7478.0,2573,14,4,12,0,4,Generalist NE,0.8523129365276657,0.0,0.0,0.0,0.0,0.09363734089959891,0.054049722572735416,0.0,0.8523129365276657,0.29966860045803967,0.19857966668509047,-0.05397788844005487,-0.02999268404458453,0.2577006473937649,0.30816795366427124,0.346857961323529,-0.04977773153059789,-0.011445031627346072,0.1789251326814299,D_Sample2
04_40_10__s1,organoid,5239.0,2410.0,D_Sample2,GRCm39,2410,5239,8079,4,40,10,A4,D4,A10,6.604313800343577,shRORB1,7496.0,2403,11,8,1,11,8,Generalist nonNE,0.027078982379228407,0.0,0.0,0.619513673161287,0.06497639405765605,0.0,0.28843095040182876,0.0,0.619513673161287,-0.003022222058921109,-0.19169214843294013,0.1129865082364633,0.036131997590868756,0.21154560222827323,-0.21020190337084388,-0.11878773253091558,0.36807920448544496,0.1147760642384452,0.09610080614245586,D_Sample2
04_41_29__s1,organoid,18322.0,5263.0,D_Sample2,GRCm39,5263,18322,27964,4,41,29,A4,D5,C5,5.534330313284576,shRORB1,9193.0,4132,11,8,1,11,8,Intermediate,0.0,0.0,0.0,0.1281899782443401,0.0,0.0,0.8718100217556599,0.0,0.8718100217556599,-0.09078442451545155,-0.28598552338706484,0.18197053594850127,0.022355024328928108,0.54423350084453,-0.1520372996527885,-0.12744073505071093,0.3363096919039078,0.1253472122510781,0.05345166457026232,D_Sample2
04_42_10__s1,organoid,6337.0,2800.0,D_Sample2,GRCm39,2800,6337,9948,4,42,10,A4,D6,A10,1.4517910683288622,shRORB1,7505.0,2778,19,4,14,15,4,Neuroendocrine1,0.42909196154051193,0.061048183348229326,0.0,0.0,0.0,0.5098598551112586,0.0,0.0,0.5098598551112586,0.37938878924346997,0.23207966578345332,-0.07877684982833771,-0.024889520382556395,0.015181639136770952,0.5434691714194908,0.49716733147818853,0.08528206737395033,0.027872854698793623,0.23650557598547034,D_Sample2
04_44_06__s1,organoid,2323.0,1296.0,D_Sample2,GRCm39,1296,2323,3588,4,44,6,A4,D8,A6,6.758501937150236,shRORB1,6551.0,1903,11,8,1,11,8,Generalist nonNE,0.0,0.0,0.0,0.6023459665553361,0.3976540334446638,0.0,0.0,0.0,0.6023459665553361,0.0789235426619616,-0.09772344397725526,0.057273669918477904,-0.013061240395738714,0.0338637836639466,-0.21254108810275935,-0.10525478260974175,0.4341705215516417,0.05769942664903269,0.027218891159727032,D_Sample2
04_44_22__s1,organoid,4009.0,1780.0,D_Sample2,GRCm39,1780,4009,6300,4,44,22,A4,D8,B10,11.44923921177351,shRORB1,7918.0,1835,15,1,10,18,1,Generalist NE,0.7345513321562827,0.0,0.0,0.0164514611651665,0.0,0.0,0.24899720667855108,0.0,0.7345513321562827,0.07076554044379699,-0.10155707205248168,-0.028242954621132098,-0.02204820477369286,0.2512494131988849,-0.05880926795375391,0.015498750755284868,0.04999322901875705,0.10491603196377827,-0.14771038885615,D_Sample2
04_45_08__s1,organoid,4121.0,2019.0,D_Sample2,GRCm39,2019,4121,6408,4,45,8,A4,D9,A8,6.940063091482649,shRORB1,7754.0,2069,11,8,1,11,8,Intermediate,0.0,0.0,0.0,0.2630596776388088,0.002981230850378282,0.0,0.7339590915108127,0.0,0.7339590915108127,-0.023678601652350043,-0.1999391532010137,0.08964755213905316,0.02864403777278686,0.6717268534197256,-0.16588954349655322,-0.18452862225372396,0.36088708169040173,0.2166313399241605,-0.07608496066312087,D_Sample2
04_45_64__s1,organoid,6141.0,2966.0,D_Sample2,GRCm39,2966,6141,9670,4,45,64,A4,D9,F4,2.0680670900504805,shRORB1,7518.0,2951,2,1,4,0,1,Generalist NE,0.5601652619671655,0.0,0.0,0.0,0.0,0.43983473803283446,0.0,0.0,0.5601652619671655,0.31777318978226665,0.1451613658291906,-0.08273225516294974,-0.039993489037890205,0.4018335585381794,0.348292032249787,0.43538887103822754,-0.01118212276789654,0.03165748032682353,0.11017056686811436,D_Sample2
04_46_58__s1,organoid,9805.0,4309.0,D_Sample2,GRCm39,4309,9805,15672,4,46,58,A4,D10,E10,2.580316165221826,shRORB1,9166.0,4283,4,1,7,5,1,Generalist NE,0.9613246695359577,0.0,0.0,0.0,0.0,0.0,0.0386753304640422,0.0,0.9613246695359577,0.3032296513582714,0.1487267355541126,-0.1115251115113779,-0.05553614676120819,0.44137831786225723,0.22016689377821508,0.007544840241777484,0.03558010710071041,-0.0003288470024000456,0.06586849920857107,D_Sample2
04_47_22__s1,organoid,9554.0,3978.0,D_Sample2,GRCm39,3978,9554,14771,4,47,22,A4,D11,B10,1.8002930709650409,shRORB1,9063.0,3950,1,2,7,2,2,Generalist NE,0.8840211648049887,0.0,0.0,0.0,0.0,0.11597883519501133,0.0,0.0,0.8840211648049887,0.391391019014811,0.35828610396422383,-0.10267542551922666,-0.031600163997098335,0.12431797316645438,0.6122318031616844,0.2647255217403432,0.12720035144726097,0.012403958547585275,0.19442658396014667,D_Sample2
04_49_40__s1,organoid,10480.0,3985.0,D_Sample2,GRCm39,3985,10480,16643,4,49,40,A4,E1,D4,1.9274809160305342,shRORB1,9197.0,3963,13,4,12,3,4,Neuroendocrine1,0.38921507201869154,0.0,0.0,0.0,0.0,0.6107849279813085,0.0,0.0,0.6107849279813085,0.3417504985031717,0.28255755933050875,-0.09871194299714711,-0.05403000196685795,0.3340612251598143,0.429260726090739,0.683942569747668,-0.06485950705576171,0.0232420251197398,0.12490329988746268,D_Sample2
04_51_40__s1,organoid,5621.0,2424.0,D_Sample2,GRCm39,2424,5621,8909,4,51,40,A4,E3,D4,6.4401352072584945,shRORB1,7597.0,2415,11,8,1,11,8,Intermediate,0.0,0.0,0.0,0.375111022209366,0.0,0.0,0.6248889777906338,0.0,0.6248889777906338,-0.04374277322230978,-0.19210752368526324,0.1369068574426365,0.023084907877653146,0.40583244334005253,-0.19954427993126286,-0.15045827452378097,0.2288063107760345,0.07562266925709868,-0.016947291586252577,D_Sample2
04_52_77__s1,organoid,5839.0,2632.0,D_Sample2,GRCm39,2632,5839,8997,4,52,77,A4,E4,G5,5.7030313409830455,shRORB1,7533.0,2611,11,8,1,11,8,Intermediate,0.01290590637257655,0.0,0.0,0.3549651266760033,0.0,0.0,0.6321289669514203,0.0,0.6321289669514203,-0.02954308417567604,-0.2101371165495454,0.13346695229450284,0.030324196588436728,0.2665014636829586,-0.16252182976538104,-0.1483430905648337,0.5806016090171213,0.2069485437821137,0.12687575484959446,D_Sample2
04_53_08__s1,organoid,8429.0,3491.0,D_Sample2,GRCm39,3491,8429,13051,4,53,8,A4,E5,A8,1.8151619409182584,shRORB1,8397.0,3466,7,6,13,8,6,Generalist NE,0.9678558906476193,0.0,0.0,0.0,0.0,0.03214410935238042,0.0,0.0,0.9678558906476193,0.28011940090688003,0.32708845305379586,-0.07120319869950868,-0.03775247800307624,0.3922092227608107,0.6266466649939717,0.30297695062083174,-0.031371066098620864,0.032651086065635604,0.23443794958673378,D_Sample2
04_53_33__s1,organoid,4348.0,2090.0,D_Sample2,GRCm39,2090,4348,6588,4,53,33,A4,E5,C9,5.151793928242871,shRORB1,7774.0,2110,11,8,1,11,8,Intermediate,0.0,0.0,0.0,0.037499085089917596,0.0,0.0,0.9625009149100826,0.0,0.9625009149100826,-0.023865703427448523,-0.19980888193046736,0.0861712693050041,0.026389754448763847,0.6136499528708315,-0.1468820477618318,-0.12995207807299153,0.19749018453438422,0.12197335613314318,0.0817685118398965,D_Sample2
04_53_79__s1,organoid,11072.0,4470.0,D_Sample2,GRCm39,4470,11072,17231,4,53,79,A4,E5,G7,1.6528179190751446,shRORB1,9306.0,4435,1,2,18,2,2,Generalist NE,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.29283098590359247,0.19774015252889587,-0.11779335113457243,-0.046923146032007645,0.48694099116801987,0.1445415197647174,-0.040710797823095,-0.11839793621946867,0.008577234292173316,-0.06145915041769995,D_Sample2
04_54_51__s1,organoid,8396.0,3221.0,D_Sample2,GRCm39,3221,8396,13233,4,54,51,A4,E6,E3,5.359695092901381,shRORB1,8381.0,3208,10,3,6,9,3,Generalist NE,0.4896359884158736,0.0,0.0,0.25301239837090556,0.0,0.0,0.2573516132132208,0.0,0.4896359884158736,-0.03354642173866207,-0.22971539331370125,0.0644409691335396,-0.01180735343906808,0.7009695247747194,-0.21592884959637984,-0.14415791453685944,0.22550478674056723,0.149128266115567,-0.04923477556736729,D_Sample2
04_56_43__s1,organoid,3421.0,1648.0,D_Sample2,GRCm39,1648,3421,5376,4,56,43,A4,E8,D7,5.933937445191464,shRORB1,7043.0,1782,15,3,6,3,3,Neuroendocrine1,0.23460010444888146,0.0,0.0,0.0,0.0,0.7653998955511185,0.0,0.0,0.7653998955511185,0.293879400614803,0.18005417146999014,-0.04074721272151951,-0.01583736153221261,-0.14605458251285702,0.8667215264313173,0.5533197538593815,0.009822472309591407,-0.08985756239082646,0.10662945996882356,D_Sample2
04_56_93__s1,organoid,3495.0,1721.0,D_Sample2,GRCm39,1721,3495,5443,4,56,93,A4,E8,H9,6.838340486409155,shRORB1,7589.0,1851,15,1,10,18,1,Generalist NE,0.935904421142682,0.0,0.0,0.007574645295032482,0.0,0.0,0.056520933562285394,0.0,0.935904421142682,0.14258004947190736,-0.0037900096344958834,-0.03511056696927209,-0.01760322555372064,0.38359666408858084,-0.04502236154745953,0.0108998928495333,0.10681568279219986,0.005486164899011367,0.09896286701802262,D_Sample2
04_57_55__s1,organoid,5312.0,2659.0,D_Sample2,GRCm39,2659,5312,8241,4,57,55,A4,E9,E7,2.0896084337349397,shRORB1,7452.0,2649,1,2,2,2,2,Generalist NE,0.98094547397811,0.0,0.0,0.0,0.0,0.0,0.01905452602189036,0.0,0.98094547397811,0.27957500252366185,0.21760278099773195,-0.07585540744309859,-0.04072762414243487,0.4053872225894268,0.3019698292985973,0.07348633708505398,0.013833422149243546,0.12429716233468928,0.09595996093344678,D_Sample2
04_58_36__s1,organoid,10324.0,3609.0,D_Sample2,GRCm39,3609,10324,16258,4,58,36,A4,E10,C12,3.583882216195273,shRORB1,9133.0,3591,7,1,9,8,1,Generalist NE,0.7159754805701235,0.0,0.0,0.0,0.0,0.17558702741754748,0.10843749201232916,0.0,0.7159754805701235,0.26063818284335766,0.11058114220007709,-0.08235161478002806,-0.04460878365344044,0.22323933633672333,0.16890361309426938,0.10018979433321884,-0.0031740712455451126,0.00658456747604573,0.07210162310463836,D_Sample2
04_58_81__s1,organoid,10143.0,3949.0,D_Sample2,GRCm39,3949,10143,15761,4,58,81,A4,E10,G9,1.9027901015478657,shRORB1,9177.0,3924,13,4,12,3,4,Neuroendocrine1,0.2107021608150483,0.0,0.0,0.0,0.0,0.7892978391849514,0.0,0.0,0.7892978391849514,0.31280044860590284,0.2526448418191122,-0.1049311041100348,-0.062285125565142825,0.25389712237387907,0.5378823968368163,0.47399934560085405,-0.0014975740454587494,0.0389624159710589,0.10819839536807116,D_Sample2
04_59_24__s1,organoid,9397.0,3684.0,D_Sample2,GRCm39,3685,9398,14805,4,59,24,A4,E11,B12,2.905182505054805,shRORB1,8968.0,3666,12,2,7,12,2,Generalist NE,0.8748953051203546,0.0,0.0,0.0,0.0,0.08937217469911912,0.035732520180526486,0.0,0.8748953051203546,0.3120673900293637,0.20670300321501828,-0.0959749141879909,-0.04605543665237466,0.2940361684429141,0.3699168095936644,0.10746245006330285,-0.050194919129409946,0.00985925442386329,0.08884749902649647,D_Sample2
04_60_26__s1,organoid,2529.0,1403.0,D_Sample2,GRCm39,1403,2529,4023,4,60,26,A4,E12,C2,3.044681692368525,shRORB1,6546.0,1895,6,2,7,7,2,Generalist NE,0.969076984969654,0.012118659504931533,0.018804355525414915,0.0,0.0,0.0,0.0,0.0,0.969076984969654,0.3917834981842895,0.30538270107744026,-0.057329929103051444,-0.012997380800196183,-0.20381509257745672,0.48573807858627294,0.5179208262974819,0.11796344974218337,-0.08852231991660656,0.5375949459014022,D_Sample2
04_60_78__s1,organoid,4671.0,2330.0,D_Sample2,GRCm39,2330,4671,7159,4,60,78,A4,E12,G6,5.973025048169557,shRORB1,7581.0,2321,11,8,1,11,8,Generalist nonNE,0.027738420769010376,0.0,0.0,0.5787999656355854,0.029786880839398552,0.0,0.36367473275600537,0.0,0.5787999656355854,0.011731759765733485,-0.2136150839317971,0.0967606449418546,0.026697318684014718,0.526749210596728,-0.19912581809864005,0.012626031584652392,0.28002528848468966,0.18742818522267077,0.06195752134155197,D_Sample2
04_61_26__s1,organoid,3162.0,1752.0,D_Sample2,GRCm39,1752,3162,4949,4,61,26,A4,F1,C2,3.542061986084757,shRORB1,7138.0,1997,11,8,1,11,8,Intermediate,0.011632767086610022,0.0,0.0,0.2676690253541451,0.004547054404432765,0.0,0.7161511531548116,0.0,0.7161511531548116,0.01937111115897551,-0.13096133032163715,0.1070474075568219,0.017065136878954584,0.4671185090365872,-0.23317477181384205,-0.17944642993348178,0.317345597016762,0.1445070343762268,-0.07389379849772529,D_Sample2
04_68_01__s1,organoid,4759.0,2219.0,D_Sample2,GRCm39,2219,4759,7556,4,68,1,A4,F8,A1,3.3200252153813827,shRORB1,7597.0,2220,11,8,1,11,8,Intermediate,0.0,0.0,0.0,0.15172249680407807,0.0,0.0,0.8482775031959219,0.0,0.8482775031959219,-0.003058288066467657,-0.2128610681030369,0.094162052194062,0.04121308885807058,0.49698860801282896,-0.18227294713161463,-0.04647405023102083,0.27552464717301856,0.18049649410366025,0.04109056031205596,D_Sample2
04_70_49__s1,organoid,3920.0,2102.0,D_Sample2,GRCm39,2102,3920,6097,4,70,49,A4,F10,E1,1.2755102040816326,shRORB1,7495.0,2141,6,2,8,7,2,Generalist NE,0.7162020255649266,0.0,0.0,0.0,0.0,0.26222683283205545,0.021571141603017725,0.0,0.7162020255649266,0.2881381184919807,0.1904891453460885,-0.07398432518162128,-0.03204561109536846,0.2805062827137987,0.551751423556613,0.4153600083444242,0.014628436563474595,0.1295622819309208,-0.01845895112221263,D_Sample2
04_71_38__s1,organoid,8694.0,3221.0,D_Sample2,GRCm39,3221,8694,13459,4,71,38,A4,F11,D2,4.899930986887509,shRORB1,8586.0,3203,11,8,1,11,8,Intermediate,0.012168263372991484,0.0,0.0,0.2554659811652249,0.0,0.0,0.7323657554617838,0.0,0.7323657554617838,-0.050471695423221274,-0.22377599149933633,0.14774869128481272,0.045228416904209326,0.504568533976753,-0.16895633505118296,-0.14334488885280894,0.4207926594697119,0.2531827043548813,0.01094615066102897,D_Sample2
04_71_40__s1,organoid,9102.0,3911.0,D_Sample2,GRCm39,3911,9102,14276,4,71,40,A4,F11,D4,2.5818501428257528,shRORB1,8885.0,3887,1,2,2,2,2,Generalist NE,0.540379855644652,0.0,0.0,0.0,0.0,0.4596201443553481,0.0,0.0,0.540379855644652,0.3373258712458809,0.2589662356061791,-0.10292040894168335,-0.03428207078491731,0.2900849589261149,0.4100518214837364,0.15423633028526945,0.003610392446925209,0.006401455706010084,0.22331437355292222,D_Sample2
04_72_27__s1,organoid,12470.0,4452.0,D_Sample2,GRCm39,4452,12470,19449,4,72,27,A4,F12,C3,1.5477145148356055,shRORB1,9234.0,4416,2,4,12,0,4,Neuroendocrine1,0.47459780434598586,0.0,0.0,0.0,0.0,0.5254021956540141,0.0,0.0,0.5254021956540141,0.3583393910793157,0.23909301551849532,-0.11586056089938554,-0.06124793369940576,0.12130179253108547,0.752944980825553,0.6458656635740243,-0.05667650964041469,0.044790361439009246,0.16984136439186096,D_Sample2
04_72_33__s1,organoid,17671.0,5366.0,D_Sample2,GRCm39,5366,17671,27244,4,72,33,A4,F12,C9,1.7203327485711053,shRORB1,9359.0,4406,2,1,10,0,1,Neuroendocrine1,0.31037954971971266,0.0,0.0,0.0,0.0,0.6896204502802873,0.0,0.0,0.6896204502802873,0.3346427646916028,0.2703995311565002,-0.10906333064786827,-0.07221950300328003,0.16133810373852248,0.4852781572618199,0.44627382532551724,-0.031778106880639756,0.008914543008541137,0.15679079523468203,D_Sample2
04_73_73__s1,organoid,11147.0,4059.0,D_Sample2,GRCm39,4060,11148,17127,4,73,73,A4,G1,G1,2.6554229837624472,shRORB1,9277.0,4029,11,8,1,11,8,Intermediate,0.0,0.0,0.0,0.26888538953400415,0.03564984028955652,0.0,0.6954647701764389,0.0,0.6954647701764389,-0.08244036038984046,-0.31431359895486144,0.11982018548146575,0.02874112297572061,0.37100123050796757,-0.20758994555506827,-0.20323178134838732,0.5213633359850871,0.14188875002584111,-0.1378195602970056,D_Sample2
04_77_64__s1,organoid,10831.0,4148.0,D_Sample2,GRCm39,4148,10831,16880,4,77,64,A4,G5,F4,1.6988274397562553,shRORB1,9253.0,4133,8,1,10,0,1,Generalist NE,0.5972372045822729,0.0,0.0,0.0,0.0,0.3966200547034473,0.006142740714279662,0.0,0.5972372045822729,0.31130991093609034,0.18710064714320168,-0.08775780353123651,-0.05192933757631962,0.27309671436569755,0.4128986061454711,0.3276905688465742,0.040579492479249496,0.04333121598859063,0.16366391589510226,D_Sample2
