,tf,target,key
5757,Mef2c,Lats2,Mef2c_Lats2
5759,Mef2c,Lce3a,Mef2c_Lce3a
5761,Mef2c,Lck,Mef2c_Lck
5763,Mef2c,Lcmt1,Mef2c_Lcmt1
5765,Mef2c,Ldb3,Mef2c_Ldb3
5770,Mef2c,Limch1,Mef2c_Limch1
5771,Mef2c,Lims1,Mef2c_Lims1
5773,Mef2c,Lingo3,Mef2c_Lingo3
5775,Mef2c,Lipn,Mef2c_Lipn
5778,Mef2c,Lmcd1,Mef2c_Lmcd1
5779,Mef2c,Lmna,Mef2c_Lmna
5780,Mef2c,Lmod2,Mef2c_Lmod2
5781,Mef2c,Lmod3,Mef2c_Lmod3
5782,Mef2c,Lnx1,Mef2c_Lnx1
5784,Mef2c,Lonrf1,Mef2c_Lonrf1
5785,Mef2c,Lpar6,Mef2c_Lpar6
5787,Mef2c,Lrig1,Mef2c_Lrig1
5788,Mef2c,Lrp2bp,Mef2c_Lrp2bp
5791,Mef2c,Lrrc14b,Mef2c_Lrrc14b
5792,Mef2c,Lrrc2,Mef2c_Lrrc2
5799,Mef2c,Lsm4,Mef2c_Lsm4
5800,Mef2c,Lsmem1,Mef2c_Lsmem1
5801,Mef2c,Lurap1,Mef2c_Lurap1
5802,Mef2c,Ly6a,Mef2c_Ly6a
5803,Mef2c,Ly6c1,Mef2c_Ly6c1
5807,Mef2c,Lzts1,Mef2c_Lzts1
5808,Mef2c,Macrod1,Mef2c_Macrod1
5813,Mef2c,Malat1,Mef2c_Malat1
5814,Mef2c,Mall,Mef2c_Mall
5815,Mef2c,Maml1,Mef2c_Maml1
5822,Mef2c,Map2k6,Mef2c_Map2k6
5823,Mef2c,Map3k12,Mef2c_Map3k12
5825,Mef2c,Map3k20,Mef2c_Map3k20
5826,Mef2c,Map3k7cl,Mef2c_Map3k7cl
5829,Mef2c,Mapk14,Mef2c_Mapk14
5831,Mef2c,Mapkap1,Mef2c_Mapkap1
5836,Mef2c,Matn2,Mef2c_Matn2
5837,Mef2c,Matr3,Mef2c_Matr3
5839,Mef2c,Mbnl2,Mef2c_Mbnl2
5840,Mef2c,Mcc,Mef2c_Mcc
5843,Mef2c,Mcrs1,Mef2c_Mcrs1
5849,Mef2c,Med13,Mef2c_Med13
5850,Mef2c,Med6,Mef2c_Med6
5851,Mef2c,Med9os,Mef2c_Med9os
5857,Mef2c,Mex3c,Mef2c_Mex3c
5859,Mef2c,Mfsd4b1,Mef2c_Mfsd4b1
5862,Mef2c,Mgst3,Mef2c_Mgst3
5865,Mef2c,Mical1,Mef2c_Mical1
5871,Mef2c,Mir101c,Mef2c_Mir101c
5876,Mef2c,Mir130a,Mef2c_Mir130a
5877,Mef2c,Mir133c,Mef2c_Mir133c
5880,Mef2c,Mir1938,Mef2c_Mir1938
5881,Mef2c,Mir193a,Mef2c_Mir193a
5884,Mef2c,Mir1b,Mef2c_Mir1b
5888,Mef2c,Mir21a,Mef2c_Mir21a
5890,Mef2c,Mir23a,Mef2c_Mir23a
5891,Mef2c,Mir3071,Mef2c_Mir3071
5892,Mef2c,Mir3092,Mef2c_Mir3092
5898,Mef2c,Mir378b,Mef2c_Mir378b
5899,Mef2c,Mir3971,Mef2c_Mir3971
5900,Mef2c,Mir429,Mef2c_Mir429
5901,Mef2c,Mir466q,Mef2c_Mir466q
5903,Mef2c,Mir5123,Mef2c_Mir5123
5905,Mef2c,Mir5616,Mef2c_Mir5616
5912,Mef2c,Mir6374,Mef2c_Mir6374
5915,Mef2c,Mir6397,Mef2c_Mir6397
5918,Mef2c,Mir670,Mef2c_Mir670
5919,Mef2c,Mir684-1,Mef2c_Mir684-1
5920,Mef2c,Mir6896,Mef2c_Mir6896
5922,Mef2c,Mir6923,Mef2c_Mir6923
5923,Mef2c,Mir6931,Mef2c_Mir6931
5924,Mef2c,Mir6934,Mef2c_Mir6934
5925,Mef2c,Mir6939,Mef2c_Mir6939
5926,Mef2c,Mir6962,Mef2c_Mir6962
5927,Mef2c,Mir6963,Mef2c_Mir6963
5931,Mef2c,Mir7039,Mef2c_Mir7039
5933,Mef2c,Mir7052,Mef2c_Mir7052
5934,Mef2c,Mir7063,Mef2c_Mir7063
5940,Mef2c,Mir744,Mef2c_Mir744
5944,Mef2c,Mir7687,Mef2c_Mir7687
5945,Mef2c,Mir7688,Mef2c_Mir7688
5947,Mef2c,Mir8103,Mef2c_Mir8103
5949,Mef2c,Mirlet7c-1,Mef2c_Mirlet7c-1
5952,Mef2c,Mkl1,Mef2c_Mkl1
5953,Mef2c,Mllt3,Mef2c_Mllt3
5954,Mef2c,Mlxipl,Mef2c_Mlxipl
5956,Mef2c,Mmaa,Mef2c_Mmaa
5959,Mef2c,Mob4,Mef2c_Mob4
5963,Mef2c,Mov10,Mef2c_Mov10
5965,Mef2c,Mpzl1,Mef2c_Mpzl1
5967,Mef2c,Mrpl45,Mef2c_Mrpl45
5973,Mef2c,Ms4a6d,Mef2c_Ms4a6d
5976,Mef2c,Msrb3,Mef2c_Msrb3
5977,Mef2c,Mss51,Mef2c_Mss51
5980,Mef2c,Mtfr2,Mef2c_Mtfr2
5984,Mef2c,Mtmr11,Mef2c_Mtmr11
5985,Mef2c,Mtmr7,Mef2c_Mtmr7
5986,Mef2c,Mtpn,Mef2c_Mtpn
5989,Mef2c,Muc15,Mef2c_Muc15
5990,Mef2c,Mum1l1,Mef2c_Mum1l1
5991,Mef2c,Mus81,Mef2c_Mus81
5992,Mef2c,Mvp,Mef2c_Mvp
5994,Mef2c,Mxi1,Mef2c_Mxi1
5995,Mef2c,Mxra7,Mef2c_Mxra7
5996,Mef2c,Myadml2,Mef2c_Myadml2
5997,Mef2c,Mybl1,Mef2c_Mybl1
5998,Mef2c,Mybphl,Mef2c_Mybphl
5999,Mef2c,Mycn,Mef2c_Mycn
6008,Mef2c,Myo18b,Mef2c_Myo18b
6011,Mef2c,Myo1e,Mef2c_Myo1e
6014,Mef2c,Myoz1,Mef2c_Myoz1
6015,Mef2c,Myoz2,Mef2c_Myoz2
6019,Mef2c,Naa16,Mef2c_Naa16
6024,Mef2c,Napb,Mef2c_Napb
6025,Mef2c,Napepld,Mef2c_Napepld
6027,Mef2c,Nbeal1,Mef2c_Nbeal1
6031,Mef2c,Nckap1,Mef2c_Nckap1
6033,Mef2c,Ncoa6,Mef2c_Ncoa6
6035,Mef2c,Ndrg3,Mef2c_Ndrg3
6041,Mef2c,Necap1,Mef2c_Necap1
6046,Mef2c,Nemf,Mef2c_Nemf
6047,Mef2c,Net1,Mef2c_Net1
6049,Mef2c,Neurl2,Mef2c_Neurl2
6050,Mef2c,Nf2,Mef2c_Nf2
6052,Mef2c,Nfatc1,Mef2c_Nfatc1
6053,Mef2c,Nfatc2,Mef2c_Nfatc2
6054,Mef2c,Nfe2l1,Mef2c_Nfe2l1
6059,Mef2c,Nfil3,Mef2c_Nfil3
6060,Mef2c,Nfkbiz,Mef2c_Nfkbiz
6064,Mef2c,Ninj2,Mef2c_Ninj2
6066,Mef2c,Nmur1,Mef2c_Nmur1
6070,Mef2c,Npas4,Mef2c_Npas4
6072,Mef2c,Npr3,Mef2c_Npr3
6076,Mef2c,Nr4a2,Mef2c_Nr4a2
6077,Mef2c,Nr4a3,Mef2c_Nr4a3
6082,Mef2c,Nt5m,Mef2c_Nt5m
6083,Mef2c,Ntsr2,Mef2c_Ntsr2
6093,Mef2c,Nupl1,Mef2c_Nupl1
6094,Mef2c,Oacyl,Mef2c_Oacyl
6095,Mef2c,Oas1c,Mef2c_Oas1c
6097,Mef2c,Oaz2,Mef2c_Oaz2
6098,Mef2c,Ocel1,Mef2c_Ocel1
6099,Mef2c,Ociad2,Mef2c_Ociad2
6101,Mef2c,Odf1,Mef2c_Odf1
6102,Mef2c,Oit1,Mef2c_Oit1
6106,Mef2c,Olfr1385,Mef2c_Olfr1385
6108,Mef2c,Olfr172,Mef2c_Olfr172
6111,Mef2c,Olfr47,Mef2c_Olfr47
6112,Mef2c,Olfr71,Mef2c_Olfr71
6116,Mef2c,Orai1,Mef2c_Orai1
6118,Mef2c,Ormdl3,Mef2c_Ormdl3
6121,Mef2c,Osbpl6,Mef2c_Osbpl6
6123,Mef2c,Osgepl1,Mef2c_Osgepl1
6126,Mef2c,Otulin,Mef2c_Otulin
6127,Mef2c,Oxsm,Mef2c_Oxsm
6131,Mef2c,Palld,Mef2c_Palld
6132,Mef2c,Panx1,Mef2c_Panx1
6135,Mef2c,Pard6b,Mef2c_Pard6b
6136,Mef2c,Parp10,Mef2c_Parp10
6140,Mef2c,Pbsn,Mef2c_Pbsn
6142,Mef2c,Pcdhgc3,Mef2c_Pcdhgc3
6145,Mef2c,Pcsk1n,Mef2c_Pcsk1n
6146,Mef2c,Pcsk9,Mef2c_Pcsk9
6149,Mef2c,Pdcd7,Mef2c_Pdcd7
6151,Mef2c,Pde6c,Mef2c_Pde6c
6154,Mef2c,Pdgfb,Mef2c_Pdgfb
6156,Mef2c,Pdlim1,Mef2c_Pdlim1
6159,Mef2c,Pea15a,Mef2c_Pea15a
6160,Mef2c,Peak1,Mef2c_Peak1
6164,Mef2c,Pex5l,Mef2c_Pex5l
6165,Mef2c,Pfdn1,Mef2c_Pfdn1
6167,Mef2c,Pgap3,Mef2c_Pgap3
6171,Mef2c,Phactr2,Mef2c_Phactr2
6173,Mef2c,Phf11d,Mef2c_Phf11d
6175,Mef2c,Phf20l1,Mef2c_Phf20l1
6179,Mef2c,Pik3ip1,Mef2c_Pik3ip1
6180,Mef2c,Pik3r3,Mef2c_Pik3r3
6181,Mef2c,Pin4,Mef2c_Pin4
6184,Mef2c,Pkd2l2,Mef2c_Pkd2l2
6186,Mef2c,Pkig,Mef2c_Pkig
6190,Mef2c,Plac1,Mef2c_Plac1
6191,Mef2c,Plac8l1,Mef2c_Plac8l1
6192,Mef2c,Plagl2,Mef2c_Plagl2
6193,Mef2c,Platr26,Mef2c_Platr26
6195,Mef2c,Plcd3,Mef2c_Plcd3
6197,Mef2c,Plek2,Mef2c_Plek2
6200,Mef2c,Plekhh2,Mef2c_Plekhh2
6201,Mef2c,Plekho1,Mef2c_Plekho1
6205,Mef2c,Plp2,Mef2c_Plp2
6206,Mef2c,Plpp1,Mef2c_Plpp1
6207,Mef2c,Pls3,Mef2c_Pls3
6208,Mef2c,Pmm1,Mef2c_Pmm1
6214,Mef2c,Pon2,Mef2c_Pon2
6217,Mef2c,Por,Mef2c_Por
6219,Mef2c,Pou5f1-rs4,Mef2c_Pou5f1-rs4
6220,Mef2c,Ppfia4,Mef2c_Ppfia4
6222,Mef2c,Ppia,Mef2c_Ppia
6226,Mef2c,Ppp1r12a,Mef2c_Ppp1r12a
6228,Mef2c,Ppp1r2,Mef2c_Ppp1r2
6230,Mef2c,Ppp1r3b,Mef2c_Ppp1r3b
6231,Mef2c,Ppp1r3c,Mef2c_Ppp1r3c
6235,Mef2c,Ppp2r3a,Mef2c_Ppp2r3a
6237,Mef2c,Pptc7,Mef2c_Pptc7
6241,Mef2c,Prkag2,Mef2c_Prkag2
6242,Mef2c,Prkag3,Mef2c_Prkag3
6243,Mef2c,Prkar2a,Mef2c_Prkar2a
6244,Mef2c,Prkcz,Mef2c_Prkcz
6248,Mef2c,Prnp,Mef2c_Prnp
6251,Mef2c,Prr5l,Mef2c_Prr5l
6254,Mef2c,Prrx1,Mef2c_Prrx1
6255,Mef2c,Prrx2,Mef2c_Prrx2
6256,Mef2c,Prss32,Mef2c_Prss32
6258,Mef2c,Prune1,Mef2c_Prune1
6261,Mef2c,Psma7,Mef2c_Psma7
6262,Mef2c,Psmb4,Mef2c_Psmb4
6263,Mef2c,Psmd11,Mef2c_Psmd11
6265,Mef2c,Pstpip1,Mef2c_Pstpip1
6268,Mef2c,Pthlh,Mef2c_Pthlh
6277,Mef2c,Rab14,Mef2c_Rab14
6278,Mef2c,Rab15,Mef2c_Rab15
6283,Mef2c,Rab7b,Mef2c_Rab7b
6285,Mef2c,Rad18,Mef2c_Rad18
6287,Mef2c,Rad54b,Mef2c_Rad54b
6289,Mef2c,Rapgef1,Mef2c_Rapgef1
6291,Mef2c,Rapgef6,Mef2c_Rapgef6
6292,Mef2c,Rarg,Mef2c_Rarg
6293,Mef2c,Rasgrp3,Mef2c_Rasgrp3
6295,Mef2c,Rassf1,Mef2c_Rassf1
6296,Mef2c,Rassf3,Mef2c_Rassf3
6301,Mef2c,Rbm15b,Mef2c_Rbm15b
6302,Mef2c,Rbm20,Mef2c_Rbm20
6303,Mef2c,Rbm27,Mef2c_Rbm27
6309,Mef2c,Rcan1,Mef2c_Rcan1
6310,Mef2c,Rcc2,Mef2c_Rcc2
6311,Mef2c,Rchy1,Mef2c_Rchy1
6312,Mef2c,Rd3,Mef2c_Rd3
6320,Mef2c,Rgcc,Mef2c_Rgcc
6324,Mef2c,Rgs3,Mef2c_Rgs3
6326,Mef2c,Rhob,Mef2c_Rhob
6328,Mef2c,Rhof,Mef2c_Rhof
6334,Mef2c,Rhpn2,Mef2c_Rhpn2
6335,Mef2c,Ripor1,Mef2c_Ripor1
6336,Mef2c,Ripor2,Mef2c_Ripor2
6342,Mef2c,Rnf14,Mef2c_Rnf14
6343,Mef2c,Rnf144b,Mef2c_Rnf144b
6349,Mef2c,Robo3,Mef2c_Robo3
6351,Mef2c,Ropn1,Mef2c_Ropn1
6352,Mef2c,Rp1,Mef2c_Rp1
6353,Mef2c,Rpl10a,Mef2c_Rpl10a
6354,Mef2c,Rpl38,Mef2c_Rpl38
6356,Mef2c,Rpl5,Mef2c_Rpl5
6360,Mef2c,Rps29,Mef2c_Rps29
6363,Mef2c,Rraga,Mef2c_Rraga
6365,Mef2c,Rrp12,Mef2c_Rrp12
6366,Mef2c,Rsad2,Mef2c_Rsad2
6367,Mef2c,Rspo3,Mef2c_Rspo3
6371,Mef2c,Rtkn2,Mef2c_Rtkn2
6372,Mef2c,Rtn4,Mef2c_Rtn4
6375,Mef2c,Rwdd4a,Mef2c_Rwdd4a
6376,Mef2c,Sall3,Mef2c_Sall3
6378,Mef2c,Samhd1,Mef2c_Samhd1
6379,Mef2c,Sap30bp,Mef2c_Sap30bp
6385,Mef2c,Schip1,Mef2c_Schip1
6386,Mef2c,Sdcbp,Mef2c_Sdcbp
6387,Mef2c,Sde2,Mef2c_Sde2
6390,Mef2c,Sec14l1,Mef2c_Sec14l1
6395,Mef2c,Selp,Mef2c_Selp
6396,Mef2c,Sema3e,Mef2c_Sema3e
6401,Mef2c,Serbp1,Mef2c_Serbp1
6402,Mef2c,Serf2,Mef2c_Serf2
6404,Mef2c,Serpine1,Mef2c_Serpine1
6406,Mef2c,Sesn1,Mef2c_Sesn1
6407,Mef2c,Sestd1,Mef2c_Sestd1
6409,Mef2c,Sfpq,Mef2c_Sfpq
6412,Mef2c,Sh3rf2,Mef2c_Sh3rf2
6414,Mef2c,Shoc2,Mef2c_Shoc2
6415,Mef2c,Siglec15,Mef2c_Siglec15
6416,Mef2c,Siglecf,Mef2c_Siglecf
6417,Mef2c,Siglecg,Mef2c_Siglecg
6418,Mef2c,Sik2,Mef2c_Sik2
6424,Mef2c,Skp1a,Mef2c_Skp1a
6427,Mef2c,Slc12a6,Mef2c_Slc12a6
6432,Mef2c,Slc22a4,Mef2c_Slc22a4
6438,Mef2c,Slc2a9,Mef2c_Slc2a9
6439,Mef2c,Slc30a4,Mef2c_Slc30a4
6442,Mef2c,Slc35b4,Mef2c_Slc35b4
6443,Mef2c,Slc35e4,Mef2c_Slc35e4
6445,Mef2c,Slc38a4,Mef2c_Slc38a4
6447,Mef2c,Slc39a6,Mef2c_Slc39a6
6450,Mef2c,Slc45a4,Mef2c_Slc45a4
6457,Mef2c,Slc8a1,Mef2c_Slc8a1
6459,Mef2c,Sln,Mef2c_Sln
6460,Mef2c,Smad9,Mef2c_Smad9
6466,Mef2c,Smtnl1,Mef2c_Smtnl1
6473,Mef2c,Snora23,Mef2c_Snora23
6474,Mef2c,Snord123,Mef2c_Snord123
6476,Mef2c,Snord89,Mef2c_Snord89
6480,Mef2c,Snx16,Mef2c_Snx16
6482,Mef2c,Socs5,Mef2c_Socs5
6483,Mef2c,Socs7,Mef2c_Socs7
6487,Mef2c,Sorbs3,Mef2c_Sorbs3
6488,Mef2c,Sort1,Mef2c_Sort1
6489,Mef2c,Sox8,Mef2c_Sox8
6493,Mef2c,Spata4,Mef2c_Spata4
6498,Mef2c,Spink5,Mef2c_Spink5
6500,Mef2c,Spire1,Mef2c_Spire1
6501,Mef2c,Sprr2g,Mef2c_Sprr2g
6502,Mef2c,Sptan1,Mef2c_Sptan1
6503,Mef2c,Sptb,Mef2c_Sptb
6507,Mef2c,Srpk2,Mef2c_Srpk2
6512,Mef2c,St5,Mef2c_St5
6514,Mef2c,St6galnac4,Mef2c_St6galnac4
6516,Mef2c,Stard13,Mef2c_Stard13
6517,Mef2c,Stard5,Mef2c_Stard5
6518,Mef2c,Stat2,Mef2c_Stat2
6523,Mef2c,Stmn4,Mef2c_Stmn4
6524,Mef2c,Stn1,Mef2c_Stn1
6525,Mef2c,Stra6,Mef2c_Stra6
6526,Mef2c,Stradb,Mef2c_Stradb
6527,Mef2c,Sugct,Mef2c_Sugct
6528,Mef2c,Sulf1,Mef2c_Sulf1
6530,Mef2c,Supt3,Mef2c_Supt3
6532,Mef2c,Syncrip,Mef2c_Syncrip
6535,Mef2c,Synpo,Mef2c_Synpo
6537,Mef2c,Sys1,Mef2c_Sys1
6538,Mef2c,Syt11,Mef2c_Syt11
6539,Mef2c,Syt12,Mef2c_Syt12
6540,Mef2c,Sytl2,Mef2c_Sytl2
6541,Mef2c,Taf5,Mef2c_Taf5
6543,Mef2c,Taok3,Mef2c_Taok3
6545,Mef2c,Tas2r126,Mef2c_Tas2r126
6546,Mef2c,Tas2r143,Mef2c_Tas2r143
6548,Mef2c,Tbc1d21,Mef2c_Tbc1d21
6553,Mef2c,Tcim,Mef2c_Tcim
6558,Mef2c,Tfip11,Mef2c_Tfip11
6559,Mef2c,Tfpi,Mef2c_Tfpi
6562,Mef2c,Tgm2,Mef2c_Tgm2
6565,Mef2c,Timmdc1,Mef2c_Timmdc1
6567,Mef2c,Tiparp,Mef2c_Tiparp
6570,Mef2c,Tle4,Mef2c_Tle4
6572,Mef2c,Tln1,Mef2c_Tln1
6573,Mef2c,Tlr1,Mef2c_Tlr1
6574,Mef2c,Tlr4,Mef2c_Tlr4
6578,Mef2c,Tm9sf2,Mef2c_Tm9sf2
6579,Mef2c,Tm9sf3,Mef2c_Tm9sf3
6580,Mef2c,Tmed10,Mef2c_Tmed10
6583,Mef2c,Tmem125,Mef2c_Tmem125
6585,Mef2c,Tmem140,Mef2c_Tmem140
6587,Mef2c,Tmem145,Mef2c_Tmem145
6591,Mef2c,Tmem53,Mef2c_Tmem53
6594,Mef2c,Tmem71,Mef2c_Tmem71
6597,Mef2c,Tmtc1,Mef2c_Tmtc1
6599,Mef2c,Tmx4,Mef2c_Tmx4
6601,Mef2c,Tnfrsf9,Mef2c_Tnfrsf9
6608,Mef2c,Tnrc6b,Mef2c_Tnrc6b
6610,Mef2c,Tor3a,Mef2c_Tor3a
6612,Mef2c,Tpm1,Mef2c_Tpm1
6617,Mef2c,Treml1,Mef2c_Treml1
6618,Mef2c,Trhr2,Mef2c_Trhr2
6619,Mef2c,Trib2,Mef2c_Trib2
6620,Mef2c,Trim11,Mef2c_Trim11
6623,Mef2c,Trim44,Mef2c_Trim44
6624,Mef2c,Trim47,Mef2c_Trim47
6625,Mef2c,Trim72,Mef2c_Trim72
6627,Mef2c,Trip11,Mef2c_Trip11
6628,Mef2c,Trip13,Mef2c_Trip13
6637,Mef2c,Tslp,Mef2c_Tslp
6638,Mef2c,Tspan33,Mef2c_Tspan33
6639,Mef2c,Tspyl1,Mef2c_Tspyl1
6641,Mef2c,Ttc23l,Mef2c_Ttc23l
6643,Mef2c,Ttc7b,Mef2c_Ttc7b
6644,Mef2c,Ttn,Mef2c_Ttn
6645,Mef2c,Ttpal,Mef2c_Ttpal
6647,Mef2c,Tuba8,Mef2c_Tuba8
6648,Mef2c,Tubb2a,Mef2c_Tubb2a
6650,Mef2c,Tulp4,Mef2c_Tulp4
6652,Mef2c,Txndc11,Mef2c_Txndc11
6655,Mef2c,Uba2,Mef2c_Uba2
6658,Mef2c,Ubc,Mef2c_Ubc
6660,Mef2c,Ube2d2b,Mef2c_Ube2d2b
6663,Mef2c,Ube2r2,Mef2c_Ube2r2
6665,Mef2c,Ube3a,Mef2c_Ube3a
6666,Mef2c,Ube4b,Mef2c_Ube4b
6670,Mef2c,Uck2,Mef2c_Uck2
6673,Mef2c,Unc45b,Mef2c_Unc45b
6675,Mef2c,Unk,Mef2c_Unk
6679,Mef2c,Uso1,Mef2c_Uso1
6681,Mef2c,Usp18,Mef2c_Usp18
6682,Mef2c,Usp2,Mef2c_Usp2
6683,Mef2c,Usp28,Mef2c_Usp28
6684,Mef2c,Usp36,Mef2c_Usp36
6692,Mef2c,Vegfd,Mef2c_Vegfd
6694,Mef2c,Vipas39,Mef2c_Vipas39
6696,Mef2c,Vmn1r235,Mef2c_Vmn1r235
6697,Mef2c,Vmn2r3,Mef2c_Vmn2r3
6699,Mef2c,Vps25,Mef2c_Vps25
6701,Mef2c,Vps37c,Mef2c_Vps37c
6702,Mef2c,Vps41,Mef2c_Vps41
6703,Mef2c,Vsir,Mef2c_Vsir
6704,Mef2c,Vwa8,Mef2c_Vwa8
6706,Mef2c,Wbp2nl,Mef2c_Wbp2nl
6711,Mef2c,Wee1,Mef2c_Wee1
6712,Mef2c,Wfdc1,Mef2c_Wfdc1
6714,Mef2c,Wisp1,Mef2c_Wisp1
6715,Mef2c,Xcl1,Mef2c_Xcl1
6718,Mef2c,Xirp2,Mef2c_Xirp2
6721,Mef2c,Yae1d1,Mef2c_Yae1d1
6724,Mef2c,Ybx3,Mef2c_Ybx3
6725,Mef2c,Yipf7,Mef2c_Yipf7
6726,Mef2c,Ywhah,Mef2c_Ywhah
6727,Mef2c,Zadh2,Mef2c_Zadh2
6731,Mef2c,Zbtb38,Mef2c_Zbtb38
6732,Mef2c,Zbtb42,Mef2c_Zbtb42
6734,Mef2c,Zc3h11a,Mef2c_Zc3h11a
6735,Mef2c,Zc3h12c,Mef2c_Zc3h12c
6739,Mef2c,Zcchc24,Mef2c_Zcchc24
6743,Mef2c,Zfand5,Mef2c_Zfand5
6748,Mef2c,Zfp148,Mef2c_Zfp148
6749,Mef2c,Zfp184,Mef2c_Zfp184
6751,Mef2c,Zfp322a,Mef2c_Zfp322a
6753,Mef2c,Zfp40,Mef2c_Zfp40
6754,Mef2c,Zfp46,Mef2c_Zfp46
6758,Mef2c,Zfp608,Mef2c_Zfp608
6759,Mef2c,Zfp617,Mef2c_Zfp617
6762,Mef2c,Zfp697,Mef2c_Zfp697
6763,Mef2c,Zfp706,Mef2c_Zfp706
6765,Mef2c,Zfp790,Mef2c_Zfp790
6767,Mef2c,Zfp955b,Mef2c_Zfp955b
6773,Mef2c,Znhit3,Mef2c_Znhit3
6774,Mef2c,Zp2,Mef2c_Zp2
6779,Mef2c,Zzz3,Mef2c_Zzz3
6780,Meis1,2900055J20Rik,Meis1_2900055J20Rik
6783,Meis1,AW549542,Meis1_AW549542
6786,Meis1,Arl8a,Meis1_Arl8a
6788,Meis1,Bpifb1,Meis1_Bpifb1
6789,Meis1,Brox,Meis1_Brox
6792,Meis1,Cldn34d,Meis1_Cldn34d
6797,Meis1,Faap100,Meis1_Faap100
6799,Meis1,Gjd3,Meis1_Gjd3
6802,Meis1,Gpr22,Meis1_Gpr22
6803,Meis1,Il31ra,Meis1_Il31ra
6804,Meis1,Kpna1,Meis1_Kpna1
6807,Meis1,Mir6236,Meis1_Mir6236
6808,Meis1,Mir6943,Meis1_Mir6943
6809,Meis1,Mmp13,Meis1_Mmp13
6811,Meis1,Myl2,Meis1_Myl2
6813,Meis1,Ppm1k,Meis1_Ppm1k
6816,Meis1,Slc1a7,Meis1_Slc1a7
6817,Meis1,Smtnl2,Meis1_Smtnl2
6818,Meis1,Sys1,Meis1_Sys1
6820,Meis1,Txndc11,Meis1_Txndc11
7008,Nr3c1,4930517M08Rik,Nr3c1_4930517M08Rik
7034,Nr3c1,6820431F20Rik,Nr3c1_6820431F20Rik
7066,Nr3c1,A730008H23Rik,Nr3c1_A730008H23Rik
7502,Nr3c1,Asap1,Nr3c1_Asap1
8178,Nr3c1,Cldn34d,Nr3c1_Cldn34d
8284,Nr3c1,Copz1,Nr3c1_Copz1
8846,Nr3c1,Eif4b,Nr3c1_Eif4b
9093,Nr3c1,Fam49b,Nr3c1_Fam49b
9769,Nr3c1,Hsbp1,Nr3c1_Hsbp1
9850,Nr3c1,Ikbkb,Nr3c1_Ikbkb
10104,Nr3c1,Klhl36,Nr3c1_Klhl36
11233,Nr3c1,Osbpl1a,Nr3c1_Osbpl1a
12072,Nr3c1,Rbm34,Nr3c1_Rbm34
12584,Nr3c1,Shcbp1,Nr3c1_Shcbp1
13364,Nr3c1,Tmem125,Nr3c1_Tmem125
13703,Nr3c1,Tusc3,Nr3c1_Tusc3
13712,Nr3c1,Txndc11,Nr3c1_Txndc11
14476,Rela,1110036E04Rik,Rela_1110036E04Rik
14477,Rela,1110059E24Rik,Rela_1110059E24Rik
14478,Rela,1500015L24Rik,Rela_1500015L24Rik
14479,Rela,1600002D24Rik,Rela_1600002D24Rik
14480,Rela,1700001D01Rik,Rela_1700001D01Rik
14481,Rela,1700006H21Rik,Rela_1700006H21Rik
14482,Rela,1700007J10Rik,Rela_1700007J10Rik
14483,Rela,1700009C05Rik,Rela_1700009C05Rik
14484,Rela,1700012D01Rik,Rela_1700012D01Rik
14489,Rela,1700022A21Rik,Rela_1700022A21Rik
14491,Rela,1700025M24Rik,Rela_1700025M24Rik
14494,Rela,1700030F18Rik,Rela_1700030F18Rik
14496,Rela,1700031A10Rik,Rela_1700031A10Rik
14497,Rela,1700034E13Rik,Rela_1700034E13Rik
14498,Rela,1700034J05Rik,Rela_1700034J05Rik
14501,Rela,1700054A03Rik,Rela_1700054A03Rik
14503,Rela,1700055C04Rik,Rela_1700055C04Rik
14507,Rela,1700102H20Rik,Rela_1700102H20Rik
14508,Rela,1700104L18Rik,Rela_1700104L18Rik
14512,Rela,1700113B09Rik,Rela_1700113B09Rik
14513,Rela,1700119H24Rik,Rela_1700119H24Rik
14516,Rela,1810007D17Rik,Rela_1810007D17Rik
14518,Rela,1810032O08Rik,Rela_1810032O08Rik
14520,Rela,1810058I24Rik,Rela_1810058I24Rik
14521,Rela,1810064F22Rik,Rela_1810064F22Rik
14527,Rela,2310001H17Rik,Rela_2310001H17Rik
14528,Rela,2310022B05Rik,Rela_2310022B05Rik
14529,Rela,2310030G06Rik,Rela_2310030G06Rik
14530,Rela,2310040G24Rik,Rela_2310040G24Rik
14531,Rela,2310043L19Rik,Rela_2310043L19Rik
14532,Rela,2310043O21Rik,Rela_2310043O21Rik
14534,Rela,2310069B03Rik,Rela_2310069B03Rik
14539,Rela,2610008E11Rik,Rela_2610008E11Rik
14540,Rela,2610020C07Rik,Rela_2610020C07Rik
14545,Rela,2900057B20Rik,Rela_2900057B20Rik
14547,Rela,3110039I08Rik,Rela_3110039I08Rik
14550,Rela,4632427E13Rik,Rela_4632427E13Rik
14553,Rela,4833419F23Rik,Rela_4833419F23Rik
14554,Rela,4833427F10Rik,Rela_4833427F10Rik
14556,Rela,4833439L19Rik,Rela_4833439L19Rik
14557,Rela,4921524J17Rik,Rela_4921524J17Rik
14558,Rela,4930405A21Rik,Rela_4930405A21Rik
14560,Rela,4930413E15Rik,Rela_4930413E15Rik
14562,Rela,4930444M15Rik,Rela_4930444M15Rik
14563,Rela,4930447F24Rik,Rela_4930447F24Rik
